排名,币种,价格,24H涨跌幅,24H成交额,市值,流通量,图片地址
3538,步链,0.065,15.85%,36.98,"6,500万",10亿,https://img.jinse.com/jinse_1571669535418744166
63,比原链,0.0643,-0.11%,253.57万,"6,441.18万",10.02亿,https://img.jinse.com/831104_image20.png
77,Theta,0.091,4.27%,103.34万,"6,430.59万",7.07亿,https://img.jinse.com/550933_image20.png
108,Monaco,4.0419,0.25%,"1,635.55万","6,380.77万","1,579.38万",https://resource.jinse.com/phenix/img/coin/MCO.png
590,SNX,0.9225,-7.49%,"90,400.17","6,281.61万","6,809.57万",https://img.jinse.com/jinse_1566285281390295151
62,科莫多币,0.5399,7.11%,"466,553.33","6,221.15万",1.15亿,https://img.jinse.com/831279_image20.png
95,DAI,0.9962,-0.11%,"341,252.33","6,109.63万","6,132.77万",https://img.jinse.com/jinse_1566272417685757129
126,Nexo,0.1075,3.3%,292.36万,"6,016.45万",5.6亿,https://img.jinse.com/currencies/nexo
56,恩金币,0.0773,0.19%,106.81万,"5,996.16万",7.76亿,https://resource.jinse.com/phenix/img/coin/ENJ.png
58,比特币钻石,0.3133,-0.11%,"731,956.01","5,929.68万",1.89亿,https://img.jinse.com/jinse_1565838317283949312
68,IOStoken,0.00485988,0.8%,"1,151.04万","5,838.06万",120.14亿,https://img.jinse.com/550891_image20.png
183,Centrality,0.0726,-15.01%,"240,799.23","5,820.16万",8.04亿,https://img.jinse.com/jinse_1566282956188328826
85,Alibabacoin,0.1422,0.17%,"1,258.67万","5,628.44万",3.96亿,https://img.jinse.com/1619698_image20.png
3783,Suterusu,0.00555,-4.15%,"346,668.31","5,550万",100亿,https://img.jinse.com/jinse_1571796965948647855
129,ZenCash,7.9551,1.02%,"286,481.06","5,542.69万",696.74万,https://img.jinse.com/currencies/zencash
50,ICON,0.1136,2.87%,113.42万,"5,505.12万",4.9亿,https://img.jinse.com/830990_image20.png
67,云储币,0.00130572,-0.4%,"80,134.7","5,440.22万",416.39亿,https://img.jinse.com/831141_image20.png
3149,商娱链,0.1339,0.11%,"707,899.2","5,355.2万",4亿,https://img.jinse.com/jinse_1568874226637460133
177,ONE,0.00477024,-0.98%,"265,672.33","5,247.26万",110亿,https://img.jinse.com/jinse_1567752709934764376
147,萌奈币,0.7942,4.44%,"33,044.61","5,220.13万","6,572.97万",https://resource.jinse.com/phenix/img/coin/monacoin.png
